,CP_1,CP_10,CP_2,CP_3,CP_4,CP_5,CP_6,CP_7,CP_8,CP_9,NP_1,NP_10,NP_2,NP_3,NP_4,NP_5,NP_6,NP_7,NP_8,NP_9,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,FC_1,FC_10,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,AC_1,AC_10,AC_2,AC_3,AC_4,AC_5,AC_6,AC_7,AC_8,AC_9,sum_cp,sum_np,sum_a,sum_fc,sum_ac
15557,2,4,2,4,4,3,3,3,1,2,3,3,3,2,3,4,4,3,3,3,3,4,4,4,4,4,3,4,4,3,4,1,3,4,2,4,4,1,3,3,3,3,2,3,4,3,2,1,2,1,28,31,37,29,24
15478,3,3,2,5,4,4,2,3,1,2,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,5,4,4,4,3,3,4,1,2,4,1,2,3,5,2,4,4,4,4,2,2,3,3,29,37,40,27,33
15571,2,4,3,4,4,4,2,4,1,4,3,4,2,4,5,4,4,4,2,2,3,4,4,2,4,3,2,3,4,2,4,5,4,4,2,3,3,4,2,5,3,2,5,5,5,3,4,2,2,2,32,34,31,36,33
14682,4,4,3,4,5,2,2,3,2,2,4,4,4,2,3,5,4,2,2,4,5,4,4,4,3,4,4,4,4,4,5,3,2,4,2,2,3,2,2,2,5,2,2,3,4,4,2,1,2,2,31,34,40,27,27
15597,1,4,1,5,5,1,1,2,1,1,3,3,4,2,3,4,5,2,2,3,5,4,2,3,1,4,5,5,5,4,5,1,1,3,1,1,3,1,1,3,3,1,3,2,3,4,1,1,3,1,22,31,38,20,22
15641,3,4,3,4,4,3,3,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,3,3,3,4,3,4,4,3,3,3,4,4,4,3,3,4,3,35,38,37,36,34
15654,2,4,2,4,4,2,2,3,2,2,4,3,5,4,4,4,4,4,3,4,4,4,2,3,3,4,4,4,4,4,4,3,3,4,2,2,4,2,2,2,2,2,3,4,4,4,3,2,3,2,27,39,36,28,29
15701,2,4,1,5,5,2,2,3,1,2,5,3,4,1,4,4,4,4,1,4,4,3,4,3,2,3,4,4,4,4,2,2,2,3,2,2,2,1,2,2,5,2,4,2,4,4,4,2,4,2,27,34,35,20,33
15299,4,4,3,5,3,3,1,3,1,4,4,2,4,1,4,3,3,4,1,2,3,3,3,3,3,4,3,5,3,4,4,2,2,5,2,3,4,2,1,2,5,3,3,4,4,4,3,2,3,3,31,28,34,27,34
15529,4,5,2,5,5,2,4,3,1,4,4,4,4,3,4,5,4,3,4,4,4,4,5,3,5,4,1,4,4,4,5,4,5,4,2,4,4,1,2,4,4,1,4,5,5,3,1,1,3,4,35,39,38,35,31
